id,name,category,ingredient,recipe
11,명란버터우동,['메인요리'],"[['우동면', '1개'], ['명란젓', '1덩이(40g)'], ['올리브오일', '3큰술'], ['버터', '1큰술'], ['마늘', '2톨'], ['대파', '1/4대'], ['청양고추', '1개'], ['김', '1/2장'], ['통깨', '약간'], ['달걀 노른자', '1개 분량']]","['냄비에 물 1리터를 붓고 9단에서 4분간 끓여주세요.', '우동면을 넣고 9단에서 1분 30초간 삶아주세요.', '데친 우동면은 채반에서 물기를 빼주세요.', '명란은 껍질을 제거해주세요. 마늘과 대파는 다져주세요. 청양고추는 얇게 썰어주세요. 김은 가위로 얇게 잘라주세요.', '팬에 올리브오일과 다진 마늘, 대파를 넣고 5단에서 2분간 볶아주세요.', '우동면과 명란을 그릇에 담고 볶은 마늘, 대파를 붓고 고명으로 김과 통깨를 뿌려 완성해주세요.']"
12,두부 시래기 조림,"['밑반찬', '메인요리']","[['두부', '1모(500g)'], ['자숙시래기', '1줌(200g)'], ['국물용 멸치', '10마리'], ['양파', '1/2개'], ['대파', '1/2대'], ['청양고추', '1개'], ['물', '4컵'], ['된장', '2큰술'], ['고춧가루', '1큰술'], ['멸치액젓', '1큰술'], ['국간장', '1큰술'], ['다진 마늘', '1큰술'], ['들기름', '1큰술']]","['두부는 1cm 두께로 넓적하게 썰어주세요. 자숙시래기는 물에 헹궈 손으로 가볍게 물기를 짜고 5cm 길이로 썰어주세요.', '대파와 청양고추는 어슷 썰어주세요. 양파는 굵게 채썰고 멸치는 머리와 내장을 제거해주세요.', '볼에 양념 재료를 넣어 섞어주세요.', '팬에 멸치를 넣고 5단에서 3분간 볶아주세요.', '볶은 멸치에 시래기와 양념 1/2 분량을 넣고 물을 붓고 뚜껑을 덮어 7단에서 15분간 조리해주세요.', '두부를 펼쳐 올리고 나머지 양념을 두부위에 바른 후 썰어둔 대파, 양파, 고추를 얹어 뚜껑을 닫고 5단에서 15분간 더 졸여주세요.', '완성된 두부시래기조림을 접시에 담아 맛있게 즐겨주세요.']"
13,소고기 볶음고추장,['밑반찬'],"[['다진 소고기', '100g'], ['고추장', '200g'], ['양파', '1/2개'], ['대파', '1/2대'], ['다진 마늘', '1큰술'], ['간장', '3큰술'], ['설탕', '3큰술'], ['후춧가루', '약간']]","['양파와 대파는 잘게 다져주세요.', '팬에 식용유를 넣고 양파와 대파, 마늘, 소고기를 넣고 5단에서 5분간 볶아주세요.', '볶은 재료에 고추장과 양념재료를 넣고 4단에서 3분30초간 볶아주세요. (tip. 아이들과 먹을 경우 덜 매운 고추장을 사용해주세요)', '완성된 소고기 볶음 고추장을 밥과 함께 맛있게 즐겨주세요.']"
14,돼지고기 곤약조림,['밑반찬'],"[['돼지고기 안심', '300g'], ['곤약', '250g'], ['물', '1L'], ['청주', '1컵'], ['통후추', '5알'], ['대파 흰 부분', '1/2대'], ['양파', '1/4개'], ['생강', '1톨'], ['간장', '4큰술'], ['설탕', '2큰술'], ['다시마 우린 물', '3컵'], ['다시마 우린 물', '3컵']]","['돼지고기 안심은 키친타월로 핏물을 제거하고 2등분 내주세요.', '곤약은 1cm 크기의 정사각형 모양으로 썰어주세요. 생강은 편썰어주세요.', '냄비에 썰어둔 고기와 물을 붓고 향신 재료를 넣고 7단에서 10분간 초벌로 삶아주세요.', '삶은 고기는 결대로 찢어주세요.', '냄비에 고기와 곤약, 양념 재료를 넣고 7단에서 18분간 졸여주세요.', '완성된 돼지고기 곤약 조림을 접시에 담아 맛있게 즐겨주세요.']"
15,김 쪽파무침,['밑반찬'],"[['쪽파', '300g'], ['김', '6장'], ['소금', '1작은술'], ['참기름', '1큰술'], ['통깨', '약간'], ['국간장', '1큰술'], ['멸치액젓', '1작은술']]","['냄비에 물 2L를 넣고 9단에서 7분간 끓여주세요.', '끓는 물에 소금을 넣고 쪽파 흰 부분을 먼저 넣어 9단에서 1분간 데쳐주세요.', '데친 쪽파를 찬물에 헹궈 손으로 가볍게 짜고 5cm 길이로 썰어주세요.', '팬을 5단에서 1분간 달궈주세요.', '김을 올리고 7단에서 한 면당 10초씩 구워주세요.', '볼에 쪽파를 넣고 김을 손으로 부숴 넣은 후 양념 재료를 넣어 조물조물 무쳐주세요. 마지막에 참기름과 통깨를 뿌려주세요.', '완성된 김 쪽파무침을 접시에 담아 맛있게 즐겨주세요.']"
16,땅콩호박 그라탕,"['양식', '오븐 요리', '메인요리']","[['땅콩호박', '1개'], ['양파', '1/2개'], ['베이컨', '3줄'], ['생크림', '1컵'], ['파마산치즈가루', '3큰술'], ['피자치즈', '1컵'], ['소금', '약간'], ['후춧가루', '약간'], ['파슬리가루', '약간'], ['올리브오일', '약간']]","['땅콩호박은 꼭지를 자르고 반으로 잘라 숟가락으로 속을 파주세요.', '칼로 속을 채울 수 있을 만큼 호박 속을 잘라내 주세요.', '양파는 잘게 다지고 베이컨은 1cm 간격으로 잘라주세요.', '달군 팬에 베이컨을 볶다가 양파를 넣어 볶아주세요.', '생크림과 파마산치즈가루, 소금, 후춧가루를 넣어 골고루 섞어주세요.', '오븐팬에 땅콩호박을 넣고 올리브오일, 소금, 후춧가루를 뿌려주세요. 만들어 둔 속 재료를 넣어주세요.', '피자치즈를 뿌린 후 200도 예열된 온도에서 30분 정도 구워주세요. (tip. 남은 호박 속은 함께 구워 드시거나 수프 등 다양한 다른 요리에 활용해보세요)', '파슬리가루를 뿌린 후 숟가락으로 떠서 맛있게 즐겨주세요.']"
17,갈치구이,['메인요리'],"[['손질 갈치', '3토막'], ['부침가루', '1/2컵'], ['소금', '약간'], ['식용유', '적당량']]","['키친타월로 갈치의 물기를 제거해주세요.', '갈치에 칼집을 넣어주세요.(tip. 갈치 양쪽 가장자리에 칼집을 내면 살을 발라내기 쉬워요)', '소금을 뿌려 간을 해주세요.', '앞뒤로 부침가루를 묻혀주세요.', '달군 팬에 식용유를 넉넉히 두르고 중불에서 속까지 잘 익도록 앞뒤로 노릇하게 구워주세요.', '살만 발라 밥과 함께 맛있게 즐겨주세요.']"
18,통삼겹살 오븐구이,"['초대요리', '오븐 요리', '메인요리']","[['통삼겹살', '1kg'], ['소금', '약간'], ['후춧가루', '약간'], ['사과', '1개'], ['방울 양배추', '4개'], ['당근', '1/2개'], ['대파', '1대'], ['샬롯', '3개'], ['타임', '적당량'], ['올리브오일', '2큰술'], ['다진 양파', '3큰술'], ['다진 마늘', '1큰술'], ['쌈장', '2큰술'], ['마요네즈', '1큰술'], ['맛술', '1큰술'], ['참기름', '1작은술'], ['통깨', '약간']]","['통삼겹살 앞뒷면에 칼집을 넣은 후 소금, 후춧가루를 뿌려주세요. (tip. 소금을 뿌린 후 10분 정도 냉장 보관하면 수분이 빠져나와 더욱 바삭한 식감으로 구울 수 있어요)', '지방 부위가 아래로 가도록 오븐 팬에 넣은 후 200도에서 40분 정도 구워주세요.', '사과는 도톰하게 슬라이스해주세요. 방울 양배추, 당근, 대파, 샬롯은 먹기 좋은 크기로 손질해 주세요.', '손질한 채소에 소금, 후춧가루, 올리브유를 넣어 밑간을 해주세요.', '통삼겹살을 한 번 뒤집고, 주변에 손질한 채소와 타임을 올린 후 소금, 후춧가루를 뿌려 30분 정도 더 구워주세요.', '볼에 소스 재료를 넣고 섞어 소스를 만들어 주세요.', '통삼겹살을 먹기 좋은 크기로 자른 후 소스를 곁들여 맛있게 즐겨주세요.']"
19,통오징어 튀김,['메인요리'],"[['손질 오징어', '2마리'], ['튀김가루', '1/2컵'], ['소금', '약간'], ['튀김유', '적당량'], ['튀김가루', '1컵'], ['차가운 물', '1컵'], ['얼음', '1/2컵'], ['마요네즈', '2큰술'], ['다진 양파', '1큰술'], ['레몬즙', '1/2큰술'], ['소금', '약간'], ['후춧가루', '약간'], ['파슬리 가루 (생략 가능)', '약간']]","['손질된 오징어는 먹기 좋은 크기로 자른 후 물기를 제거해 주세요. (tip. 오징어 껍질을 벗기면 더욱 부드러운 식감으로 먹을 수 있어요)', '깊은 트레이에 튀김물 재료를 넣어 섞어주세요. (tip. 튀김물에 얼음을 넣게 되면 더욱 바삭한 튀김옷을 만들 수 있답니다)', '오징어에 튀김가루를 묻힌 후 튀김물을 묻혀주세요.', '170~180도로 예열된 온도에서 오징어를 노릇하게 튀겨주세요.', '볼에 소스 재료를 섞은 후 소스를 곁들여 맛있게 즐겨주세요.']"
20,우렁이 초무침,"['밑반찬', '메인요리']","[['우렁이살', '200g'], ['양파', '1/4개'], ['치커리', '한 줌'], ['대파', '1/2대'], ['오이', '1/3개'], ['고추장', '2큰술'], ['고춧가루', '2큰술'], ['식초', '2큰술'], ['다진 마늘', '1큰술'], ['생강즙', '1작은술'], ['매실청', '1큰술'], ['참기름', '1큰술'], ['깨소금', '약간']]","['우렁이살을 흐르는 물에 세척해 물기를 제거해 주세요.', '양파, 오이, 치커리, 대파는 먹기 좋은 크기로 잘라주세요.', '볼에 양념장 재료를 넣고 섞어주세요.', '큰 볼에 우렁이살, 손질한 야채, 양념장을 넣어 버무려 주세요.', '완성 그릇에 담은 후 통깨를 뿌려 완성해주세요.']"
21,서대감자조림,['메인요리'],"[['반건조 서대', '3마리'], ['감자', '2개'], ['양파', '1/2개'], ['대파', '1/2대'], ['청홍고추', '1개씩'], ['멸치다시마육수', '2컵'], ['식용유', '약간'], ['간장', '3큰술'], ['고춧가루', '3큰술'], ['고추장', '1큰술'], ['맛술', '2큰술'], ['설탕', '1/2큰술'], ['다진 마늘', '1큰술'], ['매실청', '1큰술'], ['후춧가루', '약간']]","['깨끗이 씻은 서대의 꼬리를 제거한 후 3등분으로 잘라주세요.', '감자는 껍질을 벗긴 후 1cm 두께로 두툼하게 썰고 대파, 청홍고추는 어슷썰고, 양파는 채를 썰어주세요.', '볼에 양념 재료를 넣어 섞어주세요.', '전골냄비에 감자를 깔고 서대를 올려주세요.', '양파, 대파, 청홍고추를 넣은 후 양념장과 육수를 넣어 끓여주세요.', '맛있게 즐겨주세요.']"
22,레드키위 요거트 바크,"['간단요리', '메인요리']","[['그릭요거트', '250g'], ['레드키위', '2개'], ['블루베리', '10알'], ['피스타치오', '적당량']]","['레드키위는 껍질을 벗긴 후 얇게 슬라이스 해주세요.', '종이호일을 깔은 후 그릭요거트를 평평하게 펴 발라 주세요.', '그릭요거트 위에 레드키위와 블루베리, 피스타치오를 올려주세요. (tip. 기호에 따라 견과류, 과일 등 추가로 넣어 만들어도 좋아요)', '냉동실에 넣어 4~5시간 얼려 완성해 주세요.', '적당한 크기로 잘라 맛있게 즐겨주세요.']"
23,단감라페,"['간단요리', '메인요리']","[['단감', '2개'], ['올리브유', '2큰술'], ['식초(또는 레몬즙)', '2큰술'], ['홀그레인머스터드', '1큰술'], ['소금', '한 꼬집']]","['단감은 껍질을 벗기고 씨를 제거해 주세요. 얇게 채를 썰어주세요.', '단감을 볼에 담은 후 홀그레인머스터드, 식초, 올리브유, 소금을 넣어 버무려주세요.', '버무린 후 30분 정도 재워 맛있게 즐겨주세요.']"
24,미니 사과 에이드,['간단요리'],"[['미니 사과', '6개'], ['얼음', '1컵'], ['탄산수', '1컵'], ['아가베 시럽', '1/2큰술']]","['미니 사과를 자른 후 씨를 제거해 주세요.', '블렌더에 사과를 넣어 갈아주세요.', '얼음을 담은 컵에 갈은 사과를 담은 후 탄산수를 부어주세요.', '아가베 시럽을 뿌려 완성해주세요. (tip. 기호에 따라 미니 사과를 반으로 잘라 올려주세요)']"
25,샤인머스캣 부라타치즈 샐러드,"['간단요리', '메인요리']","[['샤인머스캣', '1/2송이'], ['부라타치즈', '1개'], ['샐러드 채소', '적당량'], ['올리브오일', '2큰술'], ['꿀', '1큰술'], ['화이트 발사믹 식초', '1큰술'], ['레몬즙', '1/2큰술']]","['샤인머스캣을 깨끗하게 씻은 후 반으로 잘라주세요.', '볼에 드레싱 재료를 넣어 섞어주세요.', '접시에 샤인머스캣과 부라타치즈, 샐러드 채소를 담아주세요.', '드레싱을 뿌려 맛있게 즐겨주세요.']"
26,미니 사과 오븐구이,"['간단요리', '메인요리']","[['미니 사과', '6개'], ['다진 호두', '3큰술'], ['시나몬 가루', '1작은술'], ['녹인 버터', '3큰술'], ['메이플 시럽', '1큰술'], ['설탕', '1큰술']]","['미니 사과는 윗부분을 자른 후 숟가락으로 속의 씨앗 부분을 파주세요.', '호두에 설탕, 시나몬 가루, 녹인 버터 2큰술, 메이플 시럽을 넣어 섞어주세요.', '사과 속에 채운 후 사과 뚜껑을 덮어주세요.', '남은 버터를 사과 위에 발라주세요.', '오븐 팬에 넣은 후 180도에서 15~20분 정도 노릇하게 구워주세요.', '기호에 따라 아이스크림을 곁들여 맛있게 즐겨주세요.']"
27,토란국,['메인요리'],"[['깐 토란', '400g'], ['소고기(국거리용)', '200g'], ['무', '1토막(100g)'], ['대파', '1대'], ['다시마 (6*6cm)', '1장'], ['굵은 소금', '1작은술'], ['물', '1.5L'], ['국간장', '1/2큰술'], ['참치액', '1큰술'], ['다진 마늘', '1큰술'], ['소금', '1작은술'], ['후춧가루', '약간']]","['소고기는 키친타월로 핏물을 제거해 주세요.', '토란과 무는 먹기 좋은 크기로 잘라주세요. 대파는 어슷하게 썰어주세요.', '물에 굵은 소금을 넣고 물이 끓으면 토란을 넣어 3분 정도 삶아 건져주세요. (tip. 토란은 맨손으로 만지면 손끝이 아리고 가려울 수 있으니 장갑을 끼고 만져주세요) (tip. 토란을 소금물에 삶으면 아린 맛이 제거된답니다)', '냄비에 물을 넣은 후 무, 다시마, 소고기를 넣어 30분 정도 푹 끓여주세요. (tip. 끓어 오르면서 생기는 거품은 걷어주세요)', '다시마를 건져낸 후 토란을 넣고 양념 재료를 넣어 5분 정도 끓여주세요.', '대파를 넣은 후 불을 끄고 맛있게 즐겨주세요.']"
28,토란조림,['밑반찬'],"[['깐 토란', '300g'], ['마늘', '5톨'], ['청홍고추', '1개씩'], ['통깨', '약간'], ['다시마 (6*6cm)', '1장'], ['대파', '1/2대'], ['참기름', '1큰술'], ['쪽파', '2대'], ['식용유', '약간'], ['간장', '2큰술'], ['맛술', '2큰술'], ['물엿', '2큰술'], ['물', '50ml'], ['참치액젓', '1큰술']]","['토란은 끓는 물에 소금을 넣고 3분 정도 삶아주세요. (tip. 토란은 맨손으로 만지면 손끝이 아리고 가려울 수 있으니 장갑을 끼고 만져주세요) (tip. 토란을 소금물에 삶으면 아린맛이 제거된답니다)', '먹기 좋은 크기로 토란을 잘라주세요. 마늘은 반으로 자르고 청홍고추와 대파는 어슷하게 썰어주세요. 쪽파는 송송 썰어주세요.', '넓은 웍에 식용유를 두르고 토란을 2분 정도 볶아주세요.', '토란과 다시마를 넣은 후 조림장 재료를 넣어 끓여주세요.', '반쯤 졸아 들었을 때 마늘과 대파, 청홍고추를 넣어 끓여주세요.', '불을 끄고 참기름과 쪽파, 통깨를 뿌려 완성해 주세요.']"
29,스리라차 치킨과 밀크셰이크,"['안주', '메인요리']","[['닭다리살', '600g'], ['우유', '1컵'], ['식용유', '적당량'], ['할라피뇨', '10g'], ['고운 고춧가루', '1큰술'], ['소금', '1작은술'], ['설탕', '1작은술'], ['후춧가루', '약간'], ['올리브유', '1큰술'], ['튀김가루', '150g'], ['고운 고춧가루', '1큰술'], ['후춧가루', '1/2큰술'], ['소금', '1작은술'], ['설탕', '1/2큰술'], ['고운 고춧가루', '2큰술'], ['다진 마늘', '1/2큰술'], ['설탕', '2큰술'], ['식초', '1큰술'], ['소금', '1작은술'], ['물', '1큰술'], ['마요네즈', '3큰술'], ['레몬즙(생략 가능)', '1큰술'], ['우유', '3/4컵'], ['바닐라 아이스크림', '2스쿱'], ['얼음', '4~5개']]","['닭다리살은 우유에 20분 가량 담갔다가 물에 씻어 물기를 제거해 주세요. 닭다리살을 한입 크기로 썬 후 밑간 재료를 골고루 섞어 10분 정도 재워주세요.  (tip. 우유는 닭의 잡내와 누린내를 잡아주고 연육작용을 도움을 준답니다) (tip. 닭고기에 밑간이 골고루 묻힐 수 있도록 주물러 주세요)', '볼에 스리라차 소스 재료를 담아 골고루 섞어주세요. 할라피뇨를 잘게 썰어주세요.', '볼에 반죽 재료를 넣고 잘 섞어주세요. 다른 볼에 치킨 가루 재료를 넣고 잘 섞어주세요. 밑간한 닭다리살을 치킨가루-반죽-치킨가루 순으로 묻혀주세요. (tip. 밑간한 닭고기에 반죽이 골고루 묻힐 수 있도록 꾹꾹 눌러 주세요)', '냄비에 식용유를 붓고 170도로 달군 후 밑간한 닭다리살을 치킨가루-반죽-치킨가루 순으로 묻혀 노릇하게 튀겨주세요. 건져낸 후 한번 더 튀겨주세요. (tip. 온도가 떨어지지 않도록 나눠서 넣어 튀겨주세요)', '그릇에 튀겨낸 치킨을 담은 후 스리라차소스와 할라피뇨를 뿌려주세요.', '믹서기 컨테이너에 밀크셰이크 재료를 모두 넣고 갈아주세요. 완성된 밀크셰이크를 잔에 담아 주세요. 완성된 스리라차 치킨과 밀크셰이크를 맛있게 즐겨주세요.']"
